routes,page,file,line,element,label,type,action,destination,disabled,id,shared
"/business-profiles","BusinessProfiles.jsx","src\pages\BusinessProfiles.jsx","58","Button","Back to profile","button","() => navigate('/profile')","","","","false"
"/business-profiles","BusinessProfiles.jsx","src\pages\BusinessProfiles.jsx","77","Button","Try again","button","() => profileQuery.refetch()","","","","false"
"/business-profiles","BusinessProfiles.jsx","src\pages\BusinessProfiles.jsx","116","Button","View public profile","","delegated child action","","","","false"
"/business-profiles","BusinessProfiles.jsx","src\pages\BusinessProfiles.jsx","116","Link","View public profile","","profile.public_path","profile.public_path","","","false"
"/business-profiles","BusinessProfiles.jsx","src\pages\BusinessProfiles.jsx","117","Button","Edit profile","button","() => setEditing(true)","","","","false"
"/business-profiles","BusinessProfiles.jsx","src\components\business\BusinessProfileForm.jsx","83","form","{logoPreview ? ( <img src={logoPreview} alt={`${form.company_name || 'Business'} logo`} loading=""eager"" decoding=""async"" className=""h-full w-full object-cover"" /> ) : ( <Building2 className=""h-7 w-7 text-primary"" aria-hidden=""true"" /> )} Business logo JPG, PNG, or WebP · 5 MB maximum. {uploadingLogo ? <Loader2 className=""mr-1.5 h-4 w-4 animate-spin"" /> : <Camera className=""mr-1.5 h-4 w-4"" />} {logoPreview ? 'Replace' : 'Add logo'} Business name Profile type Vehicle dealers receive a searchable vehicle inventory page. No special account role is created. Phone Email Provide at least one contact method. Description City or area Public address (optional) Website (optional) Social links (optional) {isPending ? 'Saving…' : profile ? 'Save profile' : 'Create profile'}","","(event) => {
        event.preventDefault();
        onSubmit(form, { upload: logoUpload, removeExisting: removeExistingLogo });
      }","","","","true"
"/business-profiles","BusinessProfiles.jsx","src\components\business\BusinessProfileForm.jsx","102","Button","{uploadingLogo ? <Loader2 className=""mr-1.5 h-4 w-4 animate-spin"" /> : <Camera className=""mr-1.5 h-4 w-4"" />} {logoPreview ? 'Replace' : 'Add logo'}","button","() => logoInputRef.current?.click()","","uploadingLogo || isPending","","true"
"/business-profiles","BusinessProfiles.jsx","src\components\business\BusinessProfileForm.jsx","107","Button","Remove","button","removeLogo","","uploadingLogo || isPending","","true"
"/business-profiles","BusinessProfiles.jsx","src\components\business\BusinessProfileForm.jsx","119","Input","","","(event) => set('company_name', event.target.value)","","","business-name","true"
"/business-profiles","BusinessProfiles.jsx","src\components\business\BusinessProfileForm.jsx","124","Select","","","(value) => set('business_type', value)","","","","true"
"/business-profiles","BusinessProfiles.jsx","src\components\business\BusinessProfileForm.jsx","125","SelectTrigger","","","component state action","","","business-type","true"
"/business-profiles","BusinessProfiles.jsx","src\components\business\BusinessProfileForm.jsx","136","Input","+263 ...","tel","(event) => set('phone', event.target.value)","","","business-phone","true"
